,caption,video_id,sen_id
109300,a woman in a blue blouse discusses how to keep the food from becoming soggy,video1074,109300
45760,a man giving a presentation,video1075,45760
95200,a commentary on a sexual celebrity video,video1076,95200
92660,a commercial for a soccer video game,video1077,92660
134900,a man in pink dressing sits and talks in a crash course,video1078,134900
42520,a girl group all dressed in red,video1079,42520
124860,someone cooks meat patties in an oil filled pan on top of a stove then covers it with the lid,video108,124860
88820,a clip showing someone smashing sandwiches,video1080,88820
101360,a women showing her new bag and jacket on the road,video1081,101360
48520,a person is explaining something,video1082,48520
73600,a campaign ad for hillary clinton,video1083,73600
122120,there is a man is playing with new tricks,video1084,122120
128660,an athlete in a red uniform walks by a man in a blue sports coat,video1085,128660
65620,a church is being presented,video1086,65620
128120,a man lays on the ground with blood in his mouth and chin,video1087,128120
41980,a girl and a boy riding on horses,video1088,41980
41340,a girl applying something on her skin,video1089,41340
64880,a cartoon reading a book,video109,64880
138720,a couple of people walking pas a river filled with stones,video1090,138720
114000,there is mixing some  different colours  in a paper,video1091,114000
88660,a clip showing women performing yoga,video1092,88660
110520,a woman is cooking pasta and meatballs in the kitchen,video1093,110520
109060,a man in a white sweater vest sits at a desk and looks at pictures,video1094,109060
57380,a man discusses a recent shooting,video1095,57380
104460,there is a man is talking to a woman,video1096,104460
81080,a cooking demonstration of a potato recipe,video1097,81080
76780,a carpenter laying down laminate floor,video1098,76780
6320,a animated girl is talking to animated boy,video1099,6320
37320,a few pictures of the beatles,video11,37320
91060,a clip of a horror movie,video110,91060
104200,four tomatoes on a vine are on a white plate and one is picked by a woman,video1100,104200
61360,a character in a video game commits parkour,video1101,61360
81880,a cook mixing together ingredients,video1102,81880
60240,a man cooking food,video1103,60240
122880,a man siting beside a globe wearing glasses and taking stuff,video1104,122880
65940,a clay godzilla fights a clay king kong,video1105,65940
103380,a woman put a pot over an open flame on the stove and startes to stir its contents,video1106,103380
58460,a man explaining something serious,video1107,58460
93420,a computer character with a weapon plays for the red team,video1108,93420
64980,a cartoon picture of train while there is train travelling sound in the background,video1109,64980
100360,a speaker in black dress talking about the decisive action to be taken for the country,video111,100360
40840,a girl is in a garage,video1110,40840
81980,a cook is preparing a salad,video1111,81980
126000,a man putting a gummy worm as bate on his fishing hook,video1112,126000
90680,a clip of a man inside a tank destroying targets,video1113,90680
57460,a man demonstrates how to play a certain chord on a keyboard,video1114,57460
46220,a man fixes a rotor on an engine,video1115,46220
18220,a battery cover is removed off a toy,video1116,18220
55540,a guy talking about science,video1117,55540
21600,a black man dances in an old music video,video1118,21600
26380,a group of dogs dance around outside,video1119,26380
113780,a man in blue over enjoying coat is skying downside,video112,113780
119100,a man in blue stripes t-shirt is saying something and many people  are sleeping together,video1120,119100
54040,a lady whisks an egg,video1121,54040
12280,a boy and a girl dancing in a vehicle,video1122,12280
85200,a father is seated holding his baby and is talking,video1123,85200
43740,a man is on a ladder,video1124,43740
51780,a person cutting dough with a knife,video1125,51780
137940,women with pale skin strong jaw and long brown hair talking about protesters in chicago,video1126,137940
42220,a girl dances and sings in various outfits and then sees a three legged dog,video1127,42220
42880,a girl dancing and jumping around,video1128,42880
39280,a girl is doing something,video1129,39280
123540,the woman in black dress interview with two man with blazers talk about the congress accomplishments,video113,123540
122320,various vegetables on a white table possibly a cooking show/demo,video1130,122320
86300,a doctor is giving medicine to a hiv patient,video1131,86300
27960,a group of girls are playing instruments in a room,video1132,27960
87860,a clip of a woman singing,video1133,87860
91500,a clip of a fighting video game,video1134,91500
103440,a young man in a wine shirt talking to a group of people,video1135,103440
71300,a car is being showcased,video1136,71300
94080,a close-up of a wart on somebodies foot,video1137,94080
63180,a cartoon man is painting cars,video1138,63180
22540,a blonde man claps his hands,video1139,22540
39160,a girl is demonstrating a dance move with a group of people on a beach,video114,39160
17660,a bare-chested man punching a plastic dummy,video1140,17660
7740,a animated horse is jumping and running fast,video1141,7740
25360,a black and white animation shows with music in the background,video1142,25360
16240,a boy is talking about when he was young,video1143,16240
54760,a guy talks about machine parts,video1144,54760
29260,a girl is singing a song in a show,video1145,29260
100460,the expensive audi car going very fastly in the road at the center of the forest,video1146,100460
82800,a couple are having issues in a music video,video1147,82800
123700,a bowl of green food leaves on a table with other food contains live and moving bugs,video1148,123700
136620,two people kissing in the woods as a girl watches,video1149,136620
77440,a car with a man working on his engine,video115,77440
96900,r2d2 and darth vader play in a green grass backyard with a little boy,video1150,96900
4440,a backup camera is being promoted on a vehicle,video1151,4440
10240,a boy in a polo shirt plays piano,video1152,10240
116140,noodles are being prepared in a stir fry pot in a professional kitchen and sugar and soy sauce is added to a white bowl,video1153,116140
28500,a girl is talking about different countries flags,video1154,28500
62940,a cheetah and a lion are being shown on camera,video1155,62940
26400,a group of dancers is dancing on a stage,video1156,26400
87340,a clip of manchester soccer,video1157,87340
65640,a christmas parody song is sung,video1158,65640
64760,a cashier talks to a customer,video1159,64760
10780,a boy and a dad are at an amusement park,video116,10780
107380,there is a cartoon movie  is going on with different characters,video1160,107380
15400,a boy is performing a song on the voice,video1161,15400
96740,a man is trying to replace the oil inside of his red vehicle,video1162,96740
3800,2 women making a cake,video1163,3800
119840,a young man singing a song in front of the audience,video1164,119840
26000,a bunch of characters dance and fall down from a stage,video1165,26000
42480,a girl has a tube of glitter in her hand,video1166,42480
88420,a clip showing a woman riding a horse on a beach,video1167,88420
97980,two womens are appears with attractive white dress for marriage,video1168,97980
86560,a dog attacks the lawn sprinkler,video1169,86560
104360,women are being interviewed a girl in front of a red window is talking about what she likes most,video117,104360
83520,a family is having coversation,video1170,83520
77120,a cartoon about a person at gameshop,video1171,77120
100600,a young girl is acting like she is directing the musicians but the musicians already have a man directing,video1172,100600
58800,a man doll talking to a boy doll,video1173,58800
74160,a bus with an ice cream cone on top is driving around,video1174,74160
7320,a anime cartoon of chefs cooking in a kitchen,video1175,7320
68460,a chemical reaction occurs,video1176,68460
41760,a gamer is playing online,video1177,41760
80800,a crowd of people are watching a man talking on stage,video1178,80800
83160,a cute young woman is wooed by a man with a bad haircut,video1179,83160
131080,the  man is saying about the dish might be he made it was a piece of meat which was already cooked,video118,131080
96220,a man is standing in a room talking,video1180,96220
5220,a band is performing a song for a large crowd,video1181,5220
26920,a group is dancing,video1182,26920
124560,a man in black t-shirt and spectacles is talking,video1183,124560
102620,a man is sleeping with a women and women wakes up seeing her man still asleep,video1184,102620
99420,a guy in a white shirt saying he s on his way to the mountains,video1185,99420
88220,a clip of an fps video game is being shown,video1186,88220
125560,water flowing from far end with so much greenery around,video1187,125560
48800,a person is explaining something,video1188,48800
43780,a man is mocking newspeople,video1189,43780
102080,a music video showing a black artist singing with many other male and female artist around,video119,102080
108800,a bunch of loud lamborghini s a driving up and down the street all at different times,video1190,108800
72180,a car in a video game is being talked about,video1191,72180
136280,a man in a checked shirt discusses using iphone apps to make a film,video1192,136280
46000,a man giving demo of something,video1193,46000
21420,a black man and a white man are talking,video1194,21420
14040,a bulldog puppy attempts to walk on carpet,video1195,14040
23380,a black screen with white words describing spongebob taking revenge and not forgetting his loss,video1196,23380
127000,there is a man in green is walking with a paper,video1197,127000
71180,a car is driven through cones on the road,video1198,71180
138880,a woman adds sugar to a yellow cup of water and discusses saturation point,video1199,138880
47540,a man is angrily talking to another man,video12,47540
57040,a man describes the features of a white sports car,video120,57040
61240,a character is driving a big-wheeled vehicle in a video game,video1200,61240
126700,nebulous clouds appear in outer space while a man talks about telepathy and alien life,video1201,126700
26600,a group is doing a choreographed dance in a gym,video1202,26600
45820,a man holding a baby carrier,video1203,45820
42000,a girl admiring another girl,video1204,42000
122000,a man cooks some chicken and vegetables in a fry pan,video1205,122000
57700,a man describes how to draw,video1206,57700
103160,two mens in the kitchen putting a huge hambuger patty weighing 5lbs on the grill,video1207,103160
31660,a guy playing a video game in an open field,video1208,31660
35760,a foreign film a man and a woman stand by a lake and have a discussion,video1209,35760
116380,there is a tiger killing an animal in the forest,video121,116380
125880,a man drills screws and cuts pieces of lumber,video1210,125880
79240,a cowboy and a police officer firings guns followed by football action,video1211,79240
14680,a british reporter discussing editing of material,video1212,14680
138240,a man saying how his biggest pet peave is soggy and greasy eggrolls,video1213,138240
9320,a boy is demonstrating a toy,video1214,9320
56560,a hockey player celebrates a goal,video1215,56560
48720,a person is giving some lecture,video1216,48720
420,a  couple photographs of a model,video1217,420
125380,two men playing a televised ping pong match,video1218,125380
92300,a commercial about sportscience,video1219,92300
56120,a how to video,video122,56120
16340,a boy is showing how to play a video game,video1220,16340
109240,a man with blonde hair and a man wearing sunglasses stare through a window,video1221,109240
63820,a cartoon involving animals,video1222,63820
29220,a girl is singing a song,video1223,29220
125520,a man with blue shirt and hat talking to a female,video1224,125520
99520,a tiger laying on its side and sleeping in the grass,video1225,99520
120440,a man in describing the parts of the computer and how it works,video1226,120440
47700,a man in glasses plays guitar,video1227,47700
14720,a british man is talking on a gameshow,video1228,14720
118040,a man asks a woman if he can photograph himself with her breasts,video1229,118040
139500,a chef in a white apron pours liquid from a silver pan as he talks about his career in the food business,video123,139500
139620,a very big stone on a screen and someone is giving descriptions about it,video1230,139620
22180,a black and white slideshow depicting several males and females,video1231,22180
46140,a man gathers sticks along the river,video1232,46140
130480,there is a woman talking about a important matter,video1233,130480
121400,avril lavigne sings with an orchestra wearing a black dress,video1234,121400
8700,a boy enacts a sceen with spongebob legos,video1235,8700
71520,a car is going on the road in a video game,video1236,71520
47140,a man is demonstrating how to set a path to a music folder,video1237,47140
88140,a clip of bill murray dressed as peter pan on the david letterman show,video1238,88140
47760,a man is talking about a biology concept,video1239,47760
95100,a comical clip of a man at a drive through,video124,95100
57420,a man describes packaging for apples,video1240,57420
35960,a game of soccer is being played,video1241,35960
97820,a cat is playing with a ball which reflects its image,video1242,97820
15440,a boy is in a music video,video1243,15440
56240,a haunted house attacks a woman who is trying to retrieve a lost person,video1244,56240
40300,a girl is perfect for all those things,video1245,40300
125680,a women in red dress is saying something on tv,video1246,125680
35340,a football player scores a touchdown,video1247,35340
122560,an indian man cries to a music video on tv,video1248,122560
91440,a clip of a football game,video1249,91440
63960,a cartoon involving animals,video125,63960
26280,a group is singing a song,video1250,26280
54800,a guy talks about end joints for laminate flooring,video1251,54800
17280,a baskeball player runs across the court and makes a basket,video1252,17280
111840,a man in a blue sport coat holds a plastic bag and talks about making packaging,video1253,111840
6400,a animated game,video1254,6400
42120,a german trailer for a horror movie,video1255,42120
89340,a clip showcasing a antelope that escaped a leopards attacks,video1256,89340
22780,a blonde model is walking down the runway in a red suit,video1257,22780
37040,a few men and women are laughing,video1258,37040
27160,a group of men discuss action movies,video1259,27160
28380,a group of models walk down the runway,video126,28380
20600,a band performs,video1260,20600
90280,a clip from an old show,video1261,90280
31820,a guy plays minecraft and talks about it,video1262,31820
128740,white text on a blue screen providing instruction on how to deal with a patient s safety,video1263,128740
58840,a man drive a stick-shift car talking to his passenger,video1264,58840
48500,a person is cooking food in a pan,video1265,48500
98360,a young man with green t-shirt talking in front of the camera,video1266,98360
116960,two french citizens worry over the future of the euro,video1267,116960
129500,there is a white shirt man is talking from a store,video1268,129500
139180,there is a man thinking nearby a woman,video1269,139180
54600,a large number of military people are falling to the ground with their parachutes deployed,video127,54600
124820,a woman pouring sauce and chili powder on vegetables in a pan,video1270,124820
106980,a man is watching a caged monkey climb and inspect the camera,video1271,106980
8500,a boy does a back flip on a trampoline,video1272,8500
120100,harajuku dressed girls in bright colorful outfits shout,video1273,120100
59480,a man and woman give a presentation while being questioned by the audience,video1274,59480
103680,a railroad station is filled with people and trains of various colors,video1275,103680
127820,a man in a car speaking on being a driver with some music in the background,video1276,127820
59000,a man doing some action in the show,video1277,59000
126740,a woman in light colored clothing is performing martial arts to fight off many men in dark clothing  a crowd is watching,video1278,126740
10180,a boy hangs a picture on wall and then plays guitar seated on couch,video1279,10180
89860,a clip from the game mortal kombat,video128,89860
100200,a man is standing on a car at a car tv show,video1280,100200
59940,a man and a woman are drinking and talking to each other,video1281,59940
92560,a commercial for an omnibot toy,video1282,92560
64600,a cat and bird are fighting,video1283,64600
123520,two persons are romance each other on a water,video1284,123520
46840,a man is being interviewed,video1285,46840
12720,a boy and a girl walking along,video1286,12720
105380,there is a man in black is training his students,video1287,105380
27780,a group of kids walking down the street talking about jesus,video1288,27780
67500,a clip depicting men talking in another language in the cold,video1289,67500
43440,a man is in a boat,video129,43440
55660,a jail cell and a heroin addict are shown,video1290,55660
137420,a person shows the yellow plastic thread and unwinds it,video1291,137420
30760,a guy has a humorous argument with a friend,video1292,30760
90940,a clip of a snail on a video game,video1293,90940
52500,a lady is,video1294,52500
35380,a football player makes a point for his team,video1295,35380
76360,a cartoon describing a workers strike,video1296,76360
106720,eminem wears a knit cap and raps in a rap battle,video1297,106720
114300,there is a man is  taking in mobile some objects scattered ,video1298,114300
9820,a boy is doing dance practice,video1299,9820
80640,a crazy man interacts with abraham lincoln,video13,80640
36440,a game walkthrough being played,video130,36440
50280,a man pulls sections out of a cheesey bread loaf,video1300,50280
8140,a animation for five nights at freddy s,video1301,8140
11800,a boy and girl laugh while playing minecraft,video1302,11800
116760,two goth people standing on street talking about their looks,video1303,116760
83260,a english film is on the screen,video1304,83260
89240,a clip showcasing someone playing minecraft,video1305,89240
49340,boys are playing foosball,video1306,49340
64940,a cartoon pictures talking,video1307,64940
76900,a cartoon about a box,video1308,76900
16500,a boy is recording the exterior of a white car through his mobile,video1309,16500
132240,the camera pans on a view from an overlook,video131,132240
78820,a cartoon animation is shown as an advertisment,video1310,78820
68940,a child preforms a song on stage,video1311,68940
67300,a clip from a movie is playing,video1312,67300
72840,a bunch of men are trying indian curry,video1313,72840
139520,a brown hair woman is talking from a room,video1314,139520
80120,a crowd of people watching someone dance,video1315,80120
9160,a boy crouching and looking at an old man then close ups of both,video1316,9160
9240,a boy commentates a wrestling video game,video1317,9240
50080,a person holding onto two pieces of a plastic pepper,video1318,50080
118060,an animated genghis khan levitates into the air with his sword and is radiant in a ray of light,video1319,118060
103560,there is a woman in hot dressing is walking on the floor,video132,103560
40760,a girl is explaining how to adjust chair for children,video1320,40760
5720,a bald man talks about suicide,video1321,5720
94480,a clip taken from an older movie showcasing a woman serving two men inside of a high class restaurant,video1322,94480
70060,a clip from a promotional video,video1323,70060
42300,a girl enacts a scene using barbie dolls,video1324,42300
119560,a man in green shirt explaining something to the other person,video1325,119560
41360,a girl asking questions of two other girls in a gameshow style,video1326,41360
90860,a clip of a soccer match,video1327,90860
131480,a man talks about how to serve the ball in the game of tennis,video1328,131480
17120,a basketball assist leads to a slam-dunk,video1329,17120
96720,a small child looking for some surprise which is hiding,video133,96720
138800,a news reporter speaks with a messy haired rock star about phoning someone 100 times,video1330,138800
55600,a guy talking about comments he gets from others,video1331,55600
120720,a group of musicians are performing a song in front of a building,video1332,120720
88200,a clip of an indian guru talking to a man,video1333,88200
18740,a basketball game is being played followed by two men playing for fun,video1334,18740
57180,a man discusses how technology is made by people,video1335,57180
44600,a man is shooting,video1336,44600
49020,a woman is lifting weights,video1337,49020
105220,a women in yellow shorts and blue top and another women in coloured dress are posing,video1338,105220
102680,there is a lion is roaring from a forest,video1339,102680
13940,a brown-haired woman wearing a white shirt talks to the camera and then lifts up a large black bag,video134,13940
53680,a line of tvs all on different channels,video1340,53680
100380,a man talking about what modern spain is all about in front of a shop in spain,video1341,100380
38360,a football highlight reel,video1342,38360
101980,a news reader of the channel says that alibaba group holdings ltd makes splash in ipo in the share market,video1343,101980
35660,a foreign officer talks next to a car,video1344,35660
37720,a female providing a speech at an event,video1345,37720
133080,a man giving a tutorial on how to sculp a floor on the computer,video1346,133080
95220,a commentator speaks about a hockey game,video1347,95220
125720,a game disk is inserted into a video game console,video1348,125720
3960,a baby stroller is being displayed,video1349,3960
28780,a girl is swimming and an old lady starts talking to her,video135,28780
115980,a person cooking flour on bowl and sauce in big spoon,video1350,115980
22160,a black and white video of a boat with people looking hopefully towards a flag of israel,video1351,22160
69820,a child performs a song on america s got talent,video1352,69820
117620,there is a half naked man is laying down with a woman,video1353,117620
35420,a football player is tackling another player,video1354,35420
137680,very sweet images from disney movies about loving someone or something,video1355,137680
97200,three cars racing on a track trying to outbeat eachother,video1356,97200
99400,the beautiful woman made the colouring on her eye top,video1357,99400
50720,a man playing video games,video1358,50720
3880,2 persons in panic  2 persons caring for a hurt ball player,video1359,3880
115720,today were are talking about running downhill as we watch a bunch of people running,video136,115720
96040,a comedian is telling a joke on stage,video1360,96040
640,3d animation singing children s song,video1361,640
22440,a black car with paul giamatti in it cruises by,video1362,22440
31000,a guy is doing a play through of a first person game,video1363,31000
109280,a woman talks about portuguese cuisine in video,video1364,109280
44720,a man is standing,video1365,44720
30960,a guy is doing tricks on a bike,video1366,30960
9960,a boy gets ready to use two pieces of paper that are laying on a table,video1367,9960
78520,a cartoon animal is running around,video1368,78520
33020,a group of people giving a demonstration in a busy city,video1369,33020
124400,a lady is describing a tool that creates polymer pieces,video137,124400
116260,a man kisses a woman in a black leather jacket on a busy city street,video1370,116260
71900,a car falls into a hole just before the finish line in a cartoon,video1371,71900
37640,a female reporter is talking about a television show,video1372,37640
40160,a girl is performing,video1373,40160
121880,movie clip showing tyres being packed and dispatched to germany with making records of it,video1374,121880
112120,surrounded by mountains trees and lake a person is riding a car,video1375,112120
22940,a blond warrior negotiates with an alien being,video1376,22940
81440,a council debates strategy during the vietnam war,video1377,81440
125800,the is an egg dish in the tiff in box,video1378,125800
16920,a baseball player hits a ball,video1379,16920
55060,a guy talks about a new video game,video138,55060
127240,jamaal finkley asks robert downey jr how it feels to play a character in a movie,video1380,127240
51200,a man kicks a soccer goal and then celebrates,video1381,51200
25200,a bionic eye successfully implanted in a robot,video1382,25200
19520,a band is performing on stage to many fans,video1383,19520
52840,a lady explaining about parenting,video1384,52840
53740,a love song plays while a pretty girl looks sad and a naked man and woman embrace,video1385,53740
100160,a woman rolls dough flat with a rolling pin,video1386,100160
28600,a girl is talking about annoying people,video1387,28600
114520,a young man talking about his play,video1388,114520
109540,a woman poured sauce on chicken and began stirring it,video1389,109540
33540,a group of people are looking at and taking pictures of a horse,video139,33540
40360,a girl is playing the sims,video1390,40360
102060,there is someone making a taste carrot dish,video1391,102060
99860,a lady is putting marinated shrimps in a pan with oil for cooking,video1392,99860
87620,a clip of soldiers in full uniform cuts to a pair of speakers engaging in a conversation about russia military exercises and failed diplomacy,video1393,87620
39760,a girl is being helped to do back flips,video1394,39760
60820,a man blowing a large bubble onto a table using a straw,video1395,60820
128700,a middle-aged man wearing glasses and dressed in a grey suit is introducing himself,video1396,128700
83840,a dog is playing in a swimming pool with another dog,video1397,83840
59160,a man and a woman discuss food blogs,video1398,59160
127160,an older italian man in a lavender shirt is showing the camera a fish and describing its availability and its quality,video1399,127160
6780,a advertisement for a horror movie,video14,6780
140180,military men are shown talking to one another outdoors,video140,140180
80620,a creature is coming out of a man s body,video1400,80620
135040,a man shows another man images of how he gets inspiration,video1401,135040
92460,a commercial for 5 hour energy,video1402,92460
110640,frosty red grapes red stars and green islands appear,video1403,110640
105280,a man in black suit is saying something here,video1404,105280
22260,a black family has a conversation in church,video1405,22260
59760,a male providing a demonstration of various liquors that are worth a great deal of money,video1406,59760
106080,there are some people dancing in different styles ,video1407,106080
35600,a football player with a football,video1408,35600
77720,a cartoon character gets hit on the head,video1409,77720
130040,the couples showing their performance on the stage,video141,130040
45560,a man is doing something using paper,video1410,45560
63800,a cartoon involving animals,video1411,63800
5680,a balding man is speaking to an audience,video1412,5680
36760,a game is being played,video1413,36760
28940,a girl is talking to her dolls,video1414,28940
19600,a band is performing in an animated video,video1415,19600
24840,a birthday party is going on and a girl is gifting something on that day,video1416,24840
20540,a band of young men perform in a video,video1417,20540
50900,a man is talking about his wife,video1418,50900
42660,a girl from a famous tv movie is shown talking with her nemesis,video1419,42660
35040,a game about minecraft,video142,35040
19320,a band is performing a song,video1420,19320
15220,a boy is playing with minecraft lego,video1421,15220
75880,a cartoon group of kids are talking,video1422,75880
107000,two baby monkeys with spiky black hair on their heads play in green leaves,video1423,107000
52000,a montage of wrestling moves set to music,video1424,52000
39440,a girl is doing a play through of a video game,video1425,39440
55920,a host is interviewing bill murray,video1426,55920
33400,a group of people are cooking food together,video1427,33400
127060,a black man is in a room with white brick walls and a white railing on his left he is in a blue/gray shirt,video1428,127060
900,6 different men are having a discussion,video1429,900
84420,a female giving a hair styling tutorial,video143,84420
46340,a man folding a piece of paper,video1430,46340
49880,a woman in an office talks about taking another woman s sweater,video1431,49880
70420,a car driving on a road,video1432,70420
42420,a girl doll tells a prince doll she is not marrying him while other barbie type dolls watch,video1433,42420
20880,a band of teen boys dancing,video1434,20880
2200,a 3d animated clip taken inside the game mine craft,video1435,2200
29440,a girl is singing in her car,video1436,29440
83860,a dog is playing in a pool,video1437,83860
49920,a video showing kids wrestling with one another,video1438,49920
136860,there is a corridor  a man is jumping into that ,video1439,136860
28160,a group of kids are stretching,video144,28160
26840,a green piece of paper is being folded,video1440,26840
58480,a man explaining something,video1441,58480
76020,a cartoon character talks about answers to problems,video1442,76020
11200,a blurry animation of two dogs,video1443,11200
119980,there is a man is applying makeup with a brush,video1444,119980
47780,a man is talking about a woman winning money,video1445,47780
128340,a man runs and shouts instructions at the scene of a plane crash on the beach,video1446,128340
3140,3d african animals running,video1447,3140
129780,a guy in black suit says that he s prepared for a debate though he don t want 3 hour debate,video1448,129780
95760,a comedian is pelted with birds and plays games on stage,video1449,95760
28740,a girl is touching baby chair,video145,28740
87320,a clip of men looking solemn,video1450,87320
105080,a man with black t-shirt explaining something in front of the camera,video1451,105080
30740,a guy has made a spoof video of work,video1452,30740
44560,a man is showing himself throwing a paper airplane,video1453,44560
41240,a girl and her friends discuss a problem,video1454,41240
42200,a giant lizard is someones pet,video1455,42200
129400,a woman in a checkered shirt is in a kitchen crisping chicken,video1456,129400
50100,a man speaks to a tv show host for an interview,video1457,50100
52340,a guy shows a leaking gasket on a car,video1458,52340
34340,a group of people talk in spanish on a talk show,video1459,34340
54400,a lego character is bending over while another lego character is moving,video146,54400
43040,a girl describes her side of a story for dr,video1460,43040
22080,a black and white video of about education,video1461,22080
65420,a cartoon in being reviewed online,video1462,65420
65400,a cartoon shows an images of an ambulance and a motorcycle,video1463,65400
31340,a guy drives down the streets of japan in a scooter,video1464,31340
19180,a band is performing and being shown on a large screen,video1465,19180
61740,a cat is looking,video1466,61740
60140,a man cooking food,video1467,60140
94380,a close up video of some equipment,video1468,94380
135200,a group of people who speak mandarin are eating food inside of a restaurant,video1469,135200
60280,a man cooking chicken,video147,60280
87400,a clip of hillary clinton addressing a crowd,video1470,87400
106100,a woman with dark hair applies eyeliner and mascara and describes her technique,video1471,106100
6220,a animate character are talking,video1472,6220
87280,a clip of minecraft video game,video1473,87280
121620,there is a man making sound to notice someone,video1474,121620
11380,a bomb explodes in a building,video1475,11380
84940,a famous disney villain talks to an audience,video1476,84940
76540,a cartoon clown king makes a proclamation,video1477,76540
2480,2 anime cartoons are talking in a foreign language,video1478,2480
45440,a man is playing with candy,video1479,45440
7760,a animation of a person putting another person in a chamber of fire,video148,7760
99240,a man is jumping and running while another man is watching,video1480,99240
121560,a man shows bright pictures of his toilet and sink,video1481,121560
68540,a chef serves a group of people ramen in the morning,video1482,68540
56820,a male giving a tutorial on how to create a craft item,video1483,56820
53100,a journalist is interviewing someone on vice news,video1484,53100
11560,a bollywood actress is posing for cameras,video1485,11560
79960,a couple of men conversing on a beach,video1486,79960
